Name,Subject,Place,Img
"[Avant-Première / Débat] \Après-Demain\ de Cyril Dion et Laure Noualhat,","  L'Institut Culturel Roumain présente, à l'occasion du Festival Jazzycolors, un concert de Ramona Horvath Quartet, avec la pianiste roumaine Ramona Horvath, Nicolas Rageau à la contrebasse, Philippe Soirat à la batterie et Ronald Baker – invité spécial – voix et trompette.,",6 rue marie stuart,Event-0.jpg
"  EGG PARIS 2018,","  Rendez-vous semestriel incontournable, le Guimet [Mix] vous propose le temps d’un concert électronique de découvrir la statuaire khmère, l’archéologie indienne et les collections du Sud-est asiatique dans une ambiance musicale et visuelle unique.,",6 rue marie stuart,Event-1.jpg
"  DataJob 2018,","  Vous êtes étudiant(e) en Master de droit ou jeune professionnel(le) et souhaitez faire un LL.M. (Master of Laws) dans une école de droit aux Etats-Unis? Inscrivez-vous pour participer au EDUCATIONUSA PARIS LL.M. FAIR organisé par le centre EducationUSA de la Commission franco-américaine. Il aura lieu à la Fondation des Etats-Unis (cité universitaire internationale). Vous pourrez y rencontrer des représentants d'une vingtaine d'écoles de droit américaines.,",6 rue marie stuart,Event-2.jpg
"  APIdays Paris main event : \The New API Stack for a Programmable Society\,","  The Great British American Comedy Night features stand-up comedians from all over the world for an hour of English-speaking comedy in Paris! Come and enjoy the best of the Paris comedy scene in the intimate setting of the Bohème du Tertre underground cabaret, right next to the world-famous Sacré-Coeur. Warning: Despite its misleading title, this show does not only feature American and British comedians. There might be some Aussies in there.,",6 rue marie stuart,Event-3.jpg
"  MWR Life International CONVENTION - January 19th & 20th 2019 - ERUPTION,","  En partenariat avec l'agence conseil IMYA CONSULTING, nous vous proposons un vide-dressing sur 200 m2 avec des pièces moyen et haut de gamme soigneusement sélectionnées par nos équipes de personal shopper, conseillères en images et bloggeuses.,",6 rue marie stuart,Event-4.jpg
"  FINAL FANTASY XIV Fan Festival 2019 Paris,","  The FINAL FANTASY XIV Fan Festival returns to Europe for its third outing, bringing a world of wonder to Paris, France for the first time. Set to take place across three different regions, in three major cities - Las Vegas, Paris and Tokyo - it’s a massive event with love for the franchise at its heart and featuring exciting announcements, development panels, in-game activities, merchandise, as well as amazing opportunities to play together both in-game and in live activities. It’s also a great place to meet up with fellow players and win some great prizes! Whether you’re a newcomer or series veteran, come and make memories that’ll last a lifetime with one of the most welcoming and passionate communities in gaming!,",6 rue marie stuart,Event-5.jpg
"  Ramona Horvath Quartet feat. Ronald Baker,","  The FINAL FANTASY XIV Fan Festival returns to Europe for its third outing, bringing a world of wonder to Paris, France for the first time. Set to take place across three different regions, in three major cities - Las Vegas, Paris and Tokyo - it’s a massive event with love for the franchise at its heart and featuring exciting announcements, development panels, in-game activities, merchandise, as well as amazing opportunities to play together both in-game and in live activities. It’s also a great place to meet up with fellow players and win some great prizes! Whether you’re a newcomer or series veteran, come and make memories that’ll last a lifetime with one of the most welcoming and passionate communities in gaming!,",6 rue marie stuart,Event-6.jpg
"  Bollywood Comedy Night,","  CONGRÈS INTERNATIONAL MWR LIFE - ERUPTION !  2 JOURS EXPLOSIFS POUR PROPULSER VOTRE ACTIVITÉ À UN NOUVEAU NIVEAU ! VOUS REGRETTERIEZ DE NE PAS ÊTRE PRÉSENT !,",6 rue marie stuart,Event-7.jpg
"  Guimet [Mix] x Akuphone,","  APIdays Paris is the world's leading API event with 100+ sepakers and 2,000 API practitionners and IT decision makers. This year, we will be talking about all recent technologies and business models associated to APIs and how \New API Stack\ will build a \Programmable Society\.,",6 rue marie stuart,Event-8.jpg
"  EDUCATIONUSA PARIS LL.M. FAIR,","  An hour of spicy stand-up comedy with top international comedians right here in Paris. Hosted by the most famous Indian comedian in France, Krishna Bagadiya, who will bring out the Indian in each comedian. Come and laugh at everything under the sun, (but mostly at France and the French!),",6 rue marie stuart,Event-9.jpg
